,source,boolq,cb,cola,copa,mnli,mrpc,multirc,qnli,qqp,rte,sst2,wic,wnli,wsc,avg,lp(mnli)
21,neoyipeng/twitter-roberta-base-sentiment-mlm-class,-5.87155963302753,3.5714285714285694,-1.2464046021093085,5.000000000000007,-10.750610252237593,0.7352941176470722,-3.155940594059402,-5.418268350723054,-5.451397477120949,-17.328519855595673,-0.229357798165168,-3.76175548589341,-4.225352112676063,-0.96153846153846,-3.506712995290783,-3.130593978844594
22,neoyipeng/twitter-roberta-base-sentiment-mlm-class,-5.87155963302753,3.5714285714285694,-1.2464046021093085,5.000000000000007,-10.750610252237593,0.7352941176470722,-3.155940594059402,-5.418268350723054,-5.451397477120949,-17.328519855595673,-0.229357798165168,-3.76175548589341,-4.225352112676063,-0.96153846153846,-3.506712995290783,-3.130593978844594
23,neoyipeng/twitter-roberta-base-sentiment-mlm-class,-5.87155963302753,3.5714285714285694,-1.2464046021093085,5.000000000000007,-10.750610252237593,0.7352941176470722,-3.155940594059402,-5.418268350723054,-5.451397477120949,-17.328519855595673,-0.229357798165168,-3.76175548589341,-4.225352112676063,-0.96153846153846,-3.506712995290783,-3.130593978844594
24,neoyipeng/twitter-roberta-base-sentiment-mlm-class,-5.87155963302753,3.5714285714285694,-1.2464046021093085,5.000000000000007,-10.750610252237593,0.7352941176470722,-3.155940594059402,-5.418268350723054,-5.451397477120949,-17.328519855595673,-0.229357798165168,-3.76175548589341,-4.225352112676063,-0.96153846153846,-3.506712995290783,-3.130593978844594
25,VictorSanh/roberta-base-finetuned-yelp-polarity,2.691131498470952,-1.7857142857142776,-0.4793863854266647,3.0,0.5390561432058689,3.1862745098039227,1.877062706270628,-0.0732198425773589,-0.2893890675241124,-4.332129963898922,0.1146788990825484,0.4702194357366949,-8.45070422535212,0.0,-0.2522943269944885,-0.6590724165988604
26,princeton-nlp/sup-simcse-roberta-base,1.8654434250764496,1.7857142857142918,-1.7257909875359587,-6.0,-3.336045565500413,2.6960784313725554,1.3820132013201345,-1.629141497345799,-3.858520900321551,-3.971119133574007,0.0,-1.0971786833855788,0.0,0.0,-0.992039101727134,4.263628966639537
27,cointegrated/roberta-base-formality,-0.8562691131498497,-1.7857142857142776,-0.8628954937679794,4.000000000000007,0.2746135069161823,0.0,2.0627062706270607,-0.5125388980413845,-0.5936186000494814,-18.77256317689531,-0.229357798165168,-2.821316614420056,0.0,-25.96153846153846,-3.2898923331570518,-4.9613506916192165
28,textattack/roberta-base-QNLI,3.883792048929664,5.357142857142861,-0.2876318312559931,2.0,-0.3559804719283903,1.4705882352941302,2.722772277227726,-0.109829763866017,0.0791491466732452,-1.4440433212996453,-0.1146788990825768,0.7836990595611439,1.408450704225352,0.0,1.0995307172586786,6.491049633848654
29,facebook/muppet-roberta-base,5.22935779816514,10.714285714285722,0.2876318312559931,3.0,0.0915378356387321,3.4313725490196134,3.527227722772281,0.8969430715723803,-0.9176354192431404,11.19133574007219,0.802752293577953,3.7617554858934312,0.0,0.0,3.0011831873578783,31.58258746948738
30,textattack/roberta-base-MNLI,2.538226299694188,8.92857142857143,-1.4381591562799514,3.0,0.4475183075671225,3.921568627450995,2.88778877887789,0.1647446457990042,-0.0643086816720455,8.66425992779783,0.344036697247688,0.7836990595611439,0.0,-0.96153846153846,2.0868862480769166,34.38974776240846
